4,0
5,14
1,40
0,42
5,13
4,32
5,22
2,44
3,49
3,3
4,0
1,5
5,50
0,38
3,49
2,23
1,7
3,50
4,22
3,35
2,45
3,8
0,31
4,23
5,45
4,24
1,4
3,43
0,23
3,20
0,20
3,32
1,33
3,31
0,0
1,32
3,8
5,20
4,29
4,21
0,16
0,42
4,28
2,45
2,35
3,33
1,36
3,0
0,3
2,47
2,34
1,39
1,1
4,20
2,0
5,22
0,14
4,48
2,7
3,13
5,6
5,20
2,45
2,21
2,16
2,10
5,49
4,22
4,47
5,5
2,30
2,17
1,16
1,26
3,34
3,21
4,0
3,27
2,2
0,38
2,16
5,19
4,46
3,48
5,9
2,15
1,25
1,44
2,5
3,32
0,46
3,4
0,4
1,6
4,3
1,46
2,42
2,39
3,10
5,1
0,44
0,19
4,31
2,29
0,42
4,2
0,16
5,18
5,50
5,40
0,11
4,14
4,0
3,15
3,35
1,9
3,35
0,6
4,42
5,17
5,37
3,18
0,35
2,45
4,21
3,1
0,35
4,11
0,12
1,22
5,44
1,14
4,28
0,18
3,14
1,35
0,38
4,7
4,8
0,46
1,0
0,50
4,27
5,9
3,7
5,46
0,44
2,13
1,11
5,22
2,3
1,14
1,23
1,35
3,8
1,35
3,40
3,49
5,22
3,35
2,19
4,37
5,25
3,3
5,34
2,8
5,11
4,31
4,4
3,18
0,47
1,1
5,47
1,32
1,38
1,22
0,44
4,37
4,10
3,12
3,34
1,36
2,42
5,23
4,30
1,39
1,11
0,44
3,48
4,40
5,31
4,35
3,28
2,31
4,20
0,24
5,21
5,45
4,19
2,15
5,35
0,33
2,13
5,49
1,35
1,10
1,42
5,7
0,18
3,37
3,19
2,27
1,50
0,1
4,44
3,42
5,30
4,36
0,50
0,18
1,26
4,29
2,1
0,2
4,46
1,10
0,19
0,16
0,0
4,1
1,38
2,44
3,15
2,47
2,3
3,10
1,16
0,3
2,21
0,1
1,48
0,11
4,24
1,42
2,18
2,29
0,45
5,38
4,19
4,44
2,41
1,4
5,13
0,9
5,44
1,45
1,41
5,25
0,47
0,11
0,37
0,16
4,5
5,20
2,39
5,16
3,31
5,46
0,15
2,7
2,24
1,12
2,31
1,6
4,43
5,29
3,27
5,46
5,36
0,25
1,11
2,8
2,45
1,40
4,35
4,2
5,17
1,34
3,8
5,43
1,3
5,30
0,46
5,5
0,26
3,4
2,31
0,31
2,42
4,3
2,19
4,13
0,3
1,1
3,19
2,16
2,48
0,44
1,25
3,26
3,9
1,27
4,14
4,23
5,40
1,46
4,28
1,8
1,20
2,37
0,47
5,12
1,23
2,37
1,49
5,46
3,29
4,30
4,0
0,26
1,28
2,33
2,13
3,5
0,1
0,44
1,46
4,48
2,1
3,12
1,21
5,37
3,31
3,48
1,32
0,18
0,36
1,30
4,39
3,24
3,15
0,10
0,13
4,48
1,33
2,19
2,1
5,5
4,13
3,10
1,13
4,49
0,13
2,8
3,0
